Result,WLdiff,PSdiff,PAdiff,netwins
2,0,-4.3,-4.8,-2
3,0.049,0.7,-0.3,0
0,0.012,-4.5,-3.4,-2
1,0.134,0.1,-5,2
6,-0.183,-4.4,-0.8,-1
1,0,4.9,4.4,-2
6,-0.073,-8.5,-5.9,-2
1,0.2,6.4,-0.7,0
5,0.12,8.3,5.5,1
7,-0.04,2,3.8,-2
0,0.1,5,3.3,-1
7,0.08,-0.1,-2,1
2,-0.04,1.5,1.7,-1
0,0.12,-6.2,-11.3,3
5,-0.134,0.5,4.4,0
2,0.073,9.2,6,0
4,-0.097,-3.3,-1.3,0
5,-0.085,-6.5,-3.3,0
3,-0.024,-2.3,-0.6,-2
6,-0.171,-1.9,1.4,-4
1,0.049,1,-1,2
6,0,-5.9,-6.8,0
4,-0.049,6,6.5,0
7,0.024,-4.4,-8.8,0
3,0.073,8.8,7.1,-2
4,-0.11,2.9,5,2
0,0.012,-1.1,1.3,2
1,0.061,-4.3,-7.8,2
7,-0.073,-5.1,-2.1,0
2,0.036,-0.2,-2.1,-2
3,-0.037,-3.3,-2.9,2
6,0.012,-2.1,-1.9,0
1,0.097,2.3,-0.9,2
6,0,-4.6,-3.6,-2
1,0.049,-0.6,-4,-2
5,-0.134,-0.4,-0.3,0
0,-0.012,4,2.4,-1
2,0,-7.2,-4.8,0
5,-0.025,5.4,6.8,0
7,-0.061,-2.7,3,-2
4,-0.012,-1.3,0,2
2,0.122,-4.6,-7.6,4
5,0.048,4.1,0.2,0
3,0.098,-7.1,-10.7,1
2,0.086,-4.1,-9.2,0
5,-0.012,-2.9,-2.7,1
4,-0.122,-7.8,-2.7,0
2,-0.012,2.3,2,0
6,-0.147,-7,-2.9,-2
5,-0.195,-0.3,4,2
1,-0.024,-8.1,-10,0
2,-0.085,-1.3,-1.3,-2
5,0.024,-3.7,-5.2,2
3,0.086,-0.2,-3.5,0
2,0.232,1.1,-4.1,3
5,0.012,-6.7,-10,-2
4,-0.036,8.3,8.7,-2
6,-0.159,7.9,12.7,-2
0,0.305,-3.9,-11.1,2
3,0.012,-1.5,-2.2,2
7,-0.097,1.7,5.7,-2
1,0.134,8.4,6.3,0
6,-0.183,2.7,7,-2
1,0.037,-2.4,-3,-2
0,0.085,-5.2,-10,-2
4,-0.061,-2.9,1.1,0
3,-0.061,-8.2,-5.5,1
6,0.036,14.2,14.9,-1
2,0.122,0.3,-2.7,0
7,-0.171,-1,5.8,-4
5,-0.049,-7.9,-6.5,-2
2,0.086,-2.7,-8.2,0
1,0.135,-5.8,-10.4,2
4,0.012,8.3,8.2,-1
0,0.208,10.1,2.1,3
5,0.024,-6,-7.4,-1
3,0.085,7.4,5.8,0
7,-0.207,-17,-12.2,0
6,-0.122,3.3,9.1,0
1,0.024,-4.8,-5,2
2,-0.098,0.8,2.9,-2
5,0.146,-3.1,-5.8,2
2,0.073,-9.3,-9.7,0
4,-0.17,0.8,5.2,-2
6,-0.036,-6.1,-3.6,2
3,-0.036,3.5,4.3,0
4,-0.086,-11.2,-7.2,0
5,-0.098,4.1,4.4,2
1,0.292,-1,-8.6,2
2,0.134,2.1,-1.2,1
5,-0.098,0.1,-0.4,1
0,0.134,6.9,4.6,2
6,-0.036,3.1,4.5,-2
3,0.11,9,5.9,2
2,0.231,-3.3,-8.5,1
7,-0.097,-1.7,2.8,2
5,0.036,-0.8,-1.1,2
1,0.085,-3,-8.5,0
2,0.11,-0.8,-5.4,1
5,-0.048,2.8,2,2
2,-0.037,-11.7,-12.8,1
6,-0.11,5,8.3,0
0,0.061,4.2,-1.7,2
7,-0.11,7.5,12,-1
0,0.158,1.2,-2.2,4
5,0.073,1.9,0.2,0
2,-0.305,6.5,14.1,3
1,0.232,6.9,-0.5,2
6,-0.158,6.9,13.6,-1
4,0.012,-4.5,-6.5,-2
5,-0.11,8.1,11,-2
2,0.085,3,0.2,1
1,0.012,13.2,10.7,0
3,0.256,4.1,-6.4,0
6,-0.086,7,8.9,0
5,-0.036,-2.4,-2,-2
4,0,5.5,5,0
3,0.354,2.3,-9.7,3
2,0.025,-2.4,-2.5,0
5,-0.232,-0.9,6.1,0
1,0.134,4.3,1.7,1
7,-0.085,2.1,5.7,-3
6,-0.061,-0.5,0.3,0
1,0.012,-14.7,-14.4,-2
2,-0.012,9.5,7.3,1
6,-0.073,-5.9,-4.9,2
5,0.085,-0.7,-3,-1
2,0.134,2.6,-1.6,2
0,0.232,2.2,-5.1,2
4,0.036,-0.1,-1,0
1,0.049,2.6,1.1,4
